time_iso8601,forks_cumulative
2022-02-27 00:00:00+00:00,1
2022-03-03 00:00:00+00:00,3
2022-03-04 00:00:00+00:00,4
2022-03-24 00:00:00+00:00,5
2022-03-31 00:00:00+00:00,6
2022-04-12 00:00:00+00:00,7
2022-04-23 00:00:00+00:00,8
2022-06-17 00:00:00+00:00,9
2023-04-04 00:00:00+00:00,10
2023-04-22 00:00:00+00:00,11
2023-06-26 00:00:00+00:00,13
2023-07-21 00:00:00+00:00,14
2023-11-16 00:00:00+00:00,15
