time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-09 00:00:00+00:00,6,4,7,4
2026-01-10 00:00:00+00:00,15,7,3,3
2026-01-11 00:00:00+00:00,9,6,0,0
2026-01-12 00:00:00+00:00,7,6,21,4
2026-01-13 00:00:00+00:00,5,4,13,8
2026-01-14 00:00:00+00:00,34,13,76,42
2026-01-15 00:00:00+00:00,4,3,20,20
2026-01-16 00:00:00+00:00,8,7,7,4
2026-01-17 00:00:00+00:00,37,14,2,2
2026-01-18 00:00:00+00:00,8,6,0,0
2026-01-19 00:00:00+00:00,6,5,1,1
2026-01-20 00:00:00+00:00,12,10,29,3
2026-01-21 00:00:00+00:00,51,18,37,3
2026-01-22 00:00:00+00:00,21,5,1,1
