url_path,views_total,views_unique
/l3af-project/l3afd,104,29
/l3af-project/l3afd/actions,99,5
/l3af-project/l3afd/actions/workflows/ci-e2e.yaml,80,3
/l3af-project/l3afd/pulls,78,8
/l3af-project/l3afd/issues,62,5
/l3af-project/l3afd/actions/runs/6768043261/job/18391719838,29,1
/l3af-project/l3afd/pull/279,28,4
/l3af-project/l3afd/actions/runs/6743408213/job/18331259859,28,2
/l3af-project/l3afd/actions/runs/6767047981/job/18389062732,28,1
/l3af-project/l3afd/actions/runs/6741638906/job/18326505735,14,2
