time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-26 00:00:00+00:00,4,3,51,10
2024-02-27 00:00:00+00:00,22,9,43,8
2024-02-28 00:00:00+00:00,5,4,18,13
2024-02-29 00:00:00+00:00,6,2,45,8
2024-03-01 00:00:00+00:00,2,2,18,3
2024-03-02 00:00:00+00:00,4,3,11,4
2024-03-03 00:00:00+00:00,1,1,4,2
2024-03-04 00:00:00+00:00,4,4,6,3
2024-03-05 00:00:00+00:00,21,8,127,12
2024-03-06 00:00:00+00:00,94,13,92,6
2024-03-07 00:00:00+00:00,9,6,24,7
2024-03-08 00:00:00+00:00,11,4,61,11
2024-03-09 00:00:00+00:00,10,5,6,4
2024-03-10 00:00:00+00:00,11,2,44,2
