time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-08 00:00:00+00:00,6,5,9,3
2026-05-09 00:00:00+00:00,33,12,2,2
2026-05-10 00:00:00+00:00,8,6,0,0
2026-05-11 00:00:00+00:00,35,13,1,1
2026-05-12 00:00:00+00:00,15,11,5,2
2026-05-13 00:00:00+00:00,92,40,22,4
2026-05-14 00:00:00+00:00,25,17,2,1
2026-05-15 00:00:00+00:00,35,16,2,2
2026-05-16 00:00:00+00:00,35,15,0,0
2026-05-17 00:00:00+00:00,22,7,1,1
2026-05-18 00:00:00+00:00,21,14,0,0
2026-05-19 00:00:00+00:00,15,9,1,1
2026-05-20 00:00:00+00:00,20,18,0,0
2026-05-21 00:00:00+00:00,11,10,0,0
