time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-19 00:00:00+00:00,,,18.0,5.0
2024-11-20 00:00:00+00:00,,,21.0,6.0
2024-11-21 00:00:00+00:00,12.0,3.0,44.0,5.0
2024-11-22 00:00:00+00:00,6.0,2.0,47.0,5.0
2024-11-23 00:00:00+00:00,18.0,3.0,,
2024-11-24 00:00:00+00:00,6.0,2.0,24.0,3.0
2024-11-25 00:00:00+00:00,,,30.0,9.0
2024-11-26 00:00:00+00:00,,,23.0,3.0
2024-11-27 00:00:00+00:00,24.0,5.0,63.0,7.0
2024-11-28 00:00:00+00:00,1.0,1.0,15.0,2.0
2024-11-29 00:00:00+00:00,1.0,1.0,59.0,9.0
2024-11-30 00:00:00+00:00,7.0,2.0,,
2024-12-01 00:00:00+00:00,1.0,1.0,,
2024-12-02 00:00:00+00:00,1.0,1.0,2.0,1.0
