url_path,views_total,views_unique
/l3af-project/l3afd,12,7
/l3af-project/l3afd/commits/656c654a79d93f5b77e5ef5f9d81b97d6a18fc31/main_test.go,2,2
/l3af-project/l3afd/releases/tag/v2.1.0,2,1
/l3af-project/l3afd/blob/main/docs/configdoc.md,1,1
/l3af-project/l3afd/blob/main/stats/metrics.go,1,1
/l3af-project/l3afd/commits/6f4f0d988dcf4d9560d601f5c8d3977472fe2bdd/go.mod,1,1
/l3af-project/l3afd/issues,1,1
/l3af-project/l3afd/issues/272,1,1
/l3af-project/l3afd/issues/692,1,1
/l3af-project/l3afd/pulls,1,1
