time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-05 00:00:00+00:00,59,44,7,5
2023-03-06 00:00:00+00:00,22,19,64,8
2023-03-07 00:00:00+00:00,4,3,10,3
2023-03-08 00:00:00+00:00,138,25,122,12
2023-03-09 00:00:00+00:00,62,44,51,7
2023-03-10 00:00:00+00:00,63,46,19,6
2023-03-11 00:00:00+00:00,85,54,46,5
2023-03-12 00:00:00+00:00,20,18,10,4
2023-03-13 00:00:00+00:00,4,3,12,9
2023-03-14 00:00:00+00:00,34,4,47,9
2023-03-15 00:00:00+00:00,3,3,58,11
2023-03-16 00:00:00+00:00,2,1,12,6
2023-03-17 00:00:00+00:00,3,3,10,7
2023-03-18 00:00:00+00:00,27,6,9,4
