time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-23 00:00:00+00:00,2.0,2.0,38,8
2024-09-24 00:00:00+00:00,1.0,1.0,26,4
2024-09-25 00:00:00+00:00,26.0,2.0,132,9
2024-09-26 00:00:00+00:00,12.0,3.0,51,6
2024-09-27 00:00:00+00:00,,,34,5
2024-09-28 00:00:00+00:00,22.0,2.0,4,3
2024-09-29 00:00:00+00:00,,,18,3
2024-09-30 00:00:00+00:00,,,49,5
2024-10-01 00:00:00+00:00,,,64,6
2024-10-02 00:00:00+00:00,2.0,1.0,4,3
2024-10-03 00:00:00+00:00,2.0,1.0,3,1
2024-10-04 00:00:00+00:00,1.0,1.0,2,2
2024-10-05 00:00:00+00:00,17.0,2.0,1,1
2024-10-06 00:00:00+00:00,,,2,1
