time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-24 00:00:00+00:00,53,20,5,2
2026-05-25 00:00:00+00:00,49,27,1,1
2026-05-26 00:00:00+00:00,253,99,1,1
2026-05-27 00:00:00+00:00,255,96,3,3
2026-05-28 00:00:00+00:00,96,43,0,0
2026-05-29 00:00:00+00:00,21,15,6,4
2026-05-30 00:00:00+00:00,45,24,1,1
2026-05-31 00:00:00+00:00,172,62,0,0
2026-06-01 00:00:00+00:00,32,12,0,0
2026-06-02 00:00:00+00:00,10,6,1,1
2026-06-03 00:00:00+00:00,139,65,1,1
2026-06-04 00:00:00+00:00,23,18,4,1
2026-06-05 00:00:00+00:00,100,49,1,1
2026-06-06 00:00:00+00:00,24,14,1,1
