time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-09 00:00:00+00:00,19,15,2,2
2026-07-10 00:00:00+00:00,20,17,3,3
2026-07-11 00:00:00+00:00,79,23,1,1
2026-07-12 00:00:00+00:00,23,20,3,3
2026-07-13 00:00:00+00:00,26,21,8,5
2026-07-14 00:00:00+00:00,11,10,5,3
2026-07-15 00:00:00+00:00,240,9,2,2
2026-07-16 00:00:00+00:00,10,8,20,2
2026-07-17 00:00:00+00:00,64,22,94,4
2026-07-18 00:00:00+00:00,15,12,1,1
2026-07-19 00:00:00+00:00,20,10,13,5
2026-07-20 00:00:00+00:00,18,10,46,3
2026-07-21 00:00:00+00:00,8,6,25,3
2026-07-22 00:00:00+00:00,96,27,69,8
