time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-30 00:00:00+00:00,3,3,12,4
2024-05-01 00:00:00+00:00,20,7,27,5
2024-05-02 00:00:00+00:00,5,4,2,1
2024-05-03 00:00:00+00:00,1,1,23,3
2024-05-04 00:00:00+00:00,23,7,3,3
2024-05-05 00:00:00+00:00,12,4,112,3
2024-05-06 00:00:00+00:00,9,6,12,4
2024-05-07 00:00:00+00:00,3,3,21,8
2024-05-08 00:00:00+00:00,47,16,141,10
2024-05-09 00:00:00+00:00,2,2,9,5
2024-05-10 00:00:00+00:00,1,1,13,4
2024-05-11 00:00:00+00:00,25,5,110,4
2024-05-12 00:00:00+00:00,13,4,55,13
2024-05-13 00:00:00+00:00,1,1,34,11
