time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-25 00:00:00+00:00,3,2,12,2
2023-10-26 00:00:00+00:00,3,2,22,4
2023-10-27 00:00:00+00:00,3,2,22,4
2023-10-28 00:00:00+00:00,33,3,7,2
2023-10-29 00:00:00+00:00,5,4,24,4
2023-10-30 00:00:00+00:00,11,6,47,9
2023-10-31 00:00:00+00:00,7,5,142,6
2023-11-01 00:00:00+00:00,4,3,106,5
2023-11-02 00:00:00+00:00,115,22,98,8
2023-11-03 00:00:00+00:00,30,17,11,1
2023-11-04 00:00:00+00:00,6,4,8,3
2023-11-05 00:00:00+00:00,5,4,2,1
2023-11-06 00:00:00+00:00,17,14,45,7
2023-11-07 00:00:00+00:00,14,4,52,7
