referrer,views_total,views_unique
github.com,88,6
medium.com,74,29
l3af.io,31,8
Google,16,4
wiki.lfnetworking.org,5,3
opensource.com,4,1
statics.teams.cdn.office.net,4,1
linkedin.com,2,2
web.telegram.org,2,1
malware.news,2,1
