time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-10 00:00:00+00:00,,,18.0,5.0
2025-03-11 00:00:00+00:00,2.0,2.0,10.0,3.0
2025-03-12 00:00:00+00:00,1.0,1.0,20.0,5.0
2025-03-13 00:00:00+00:00,,,15.0,7.0
2025-03-14 00:00:00+00:00,1.0,1.0,7.0,4.0
2025-03-15 00:00:00+00:00,3.0,3.0,2.0,2.0
2025-03-16 00:00:00+00:00,,,8.0,2.0
2025-03-17 00:00:00+00:00,12.0,4.0,74.0,10.0
2025-03-18 00:00:00+00:00,8.0,4.0,14.0,3.0
2025-03-19 00:00:00+00:00,12.0,8.0,97.0,8.0
2025-03-20 00:00:00+00:00,1.0,1.0,19.0,2.0
2025-03-21 00:00:00+00:00,5.0,2.0,5.0,2.0
2025-03-22 00:00:00+00:00,10.0,7.0,17.0,3.0
2025-03-23 00:00:00+00:00,1.0,1.0,,
