referrer,views_total,views_unique
github.com,49,7
lfnetworking.org,26,5
l3af.io,22,6
Google,17,2
opensource.com,9,2
medium.com,8,1
flashcat.cloud,5,1
wiki.lfnetworking.org,2,1
Bing,1,1
