time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-12 00:00:00+00:00,4,2,15,3
2023-07-13 00:00:00+00:00,7,4,10,4
2023-07-14 00:00:00+00:00,4,3,13,3
2023-07-15 00:00:00+00:00,3,2,1,1
2023-07-16 00:00:00+00:00,4,3,10,2
2023-07-17 00:00:00+00:00,3,2,9,2
2023-07-18 00:00:00+00:00,3,2,16,5
2023-07-19 00:00:00+00:00,6,4,82,4
2023-07-20 00:00:00+00:00,5,4,72,6
2023-07-21 00:00:00+00:00,4,3,30,7
2023-07-22 00:00:00+00:00,3,2,2,1
2023-07-23 00:00:00+00:00,4,3,2,1
2023-07-24 00:00:00+00:00,3,2,15,7
2023-07-25 00:00:00+00:00,4,3,14,2
