time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-30 00:00:00+00:00,4.0,4.0,16,3
2025-05-01 00:00:00+00:00,1.0,1.0,1,1
2025-05-02 00:00:00+00:00,5.0,1.0,21,2
2025-05-03 00:00:00+00:00,2.0,2.0,15,1
2025-05-04 00:00:00+00:00,,,4,1
2025-05-05 00:00:00+00:00,,,1,1
2025-05-06 00:00:00+00:00,,,3,1
2025-05-07 00:00:00+00:00,,,8,1
2025-05-08 00:00:00+00:00,5.0,1.0,30,3
2025-05-09 00:00:00+00:00,,,12,2
2025-05-10 00:00:00+00:00,5.0,5.0,1,1
2025-05-12 00:00:00+00:00,1.0,1.0,11,4
2025-05-13 00:00:00+00:00,1.0,1.0,17,3
