time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-12 00:00:00+00:00,2,2,20,1
2024-02-13 00:00:00+00:00,11,2,109,12
2024-02-14 00:00:00+00:00,13,4,24,4
2024-02-15 00:00:00+00:00,1,1,26,5
2024-02-16 00:00:00+00:00,4,2,89,7
2024-02-17 00:00:00+00:00,3,3,12,1
2024-02-18 00:00:00+00:00,2,2,43,3
2024-02-19 00:00:00+00:00,2,1,47,6
2024-02-20 00:00:00+00:00,1,1,57,7
2024-02-21 00:00:00+00:00,2,2,12,3
2024-02-22 00:00:00+00:00,3,3,27,5
2024-02-23 00:00:00+00:00,8,8,50,8
2024-02-24 00:00:00+00:00,2,2,9,1
2024-02-25 00:00:00+00:00,2,2,25,5
