time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-01 00:00:00+00:00,7,6,6.0,5.0
2023-06-02 00:00:00+00:00,3,3,43.0,5.0
2023-06-03 00:00:00+00:00,4,2,,
2023-06-04 00:00:00+00:00,6,5,5.0,2.0
2023-06-05 00:00:00+00:00,3,2,41.0,8.0
2023-06-06 00:00:00+00:00,3,2,40.0,6.0
2023-06-07 00:00:00+00:00,3,2,5.0,3.0
2023-06-08 00:00:00+00:00,6,5,10.0,5.0
2023-06-09 00:00:00+00:00,4,2,37.0,2.0
2023-06-10 00:00:00+00:00,4,3,1.0,1.0
2023-06-11 00:00:00+00:00,5,4,23.0,4.0
2023-06-12 00:00:00+00:00,8,5,30.0,9.0
2023-06-13 00:00:00+00:00,5,4,55.0,13.0
2023-06-14 00:00:00+00:00,3,2,35.0,5.0
