referrer,views_total,views_unique
medium.com,78,7
l3af.io,58,2
Google,55,5
github.com,37,5
lfnetworking.org,21,2
Bing,21,1
wiki.lfnetworking.org,14,3
opensource.com,6,1
ppc-word-edit.officeapps.live.com,4,2
DuckDuckGo,1,1
