time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-01 00:00:00+00:00,1,1,8.0,2.0
2022-12-02 00:00:00+00:00,2,1,6.0,4.0
2022-12-03 00:00:00+00:00,2,2,13.0,3.0
2022-12-04 00:00:00+00:00,1,1,,
2022-12-05 00:00:00+00:00,3,2,5.0,3.0
2022-12-06 00:00:00+00:00,3,2,24.0,1.0
2022-12-07 00:00:00+00:00,9,5,15.0,2.0
2022-12-08 00:00:00+00:00,6,4,3.0,1.0
2022-12-09 00:00:00+00:00,4,3,10.0,3.0
2022-12-10 00:00:00+00:00,5,3,5.0,1.0
2022-12-11 00:00:00+00:00,6,3,1.0,1.0
2022-12-12 00:00:00+00:00,3,2,14.0,5.0
2022-12-13 00:00:00+00:00,3,2,18.0,1.0
2022-12-14 00:00:00+00:00,3,2,8.0,4.0
