referrer,views_total,views_unique
github.com,120,14
l3af.io,44,4
lfnetworking.org,10,2
wiki.lfnetworking.org,7,3
linkedin.com,5,1
opensource.com,4,2
Google,2,2
medium.com,2,1
DuckDuckGo,1,1
statics.teams.cdn.office.net,1,1
