time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-04 00:00:00+00:00,3,2,3.0,2.0
2023-02-05 00:00:00+00:00,4,2,10.0,2.0
2023-02-06 00:00:00+00:00,3,2,18.0,2.0
2023-02-07 00:00:00+00:00,3,2,4.0,3.0
2023-02-08 00:00:00+00:00,3,2,8.0,3.0
2023-02-09 00:00:00+00:00,1,1,26.0,5.0
2023-02-10 00:00:00+00:00,2,1,16.0,4.0
2023-02-11 00:00:00+00:00,4,2,1.0,1.0
2023-02-12 00:00:00+00:00,1,1,14.0,2.0
2023-02-13 00:00:00+00:00,2,2,2.0,1.0
2023-02-14 00:00:00+00:00,1,1,60.0,5.0
2023-02-15 00:00:00+00:00,1,1,24.0,5.0
2023-02-16 00:00:00+00:00,1,1,,
2023-02-17 00:00:00+00:00,3,3,3.0,1.0
