time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-12 00:00:00+00:00,8,5,30,9
2023-06-13 00:00:00+00:00,5,4,55,13
2023-06-14 00:00:00+00:00,3,2,35,5
2023-06-15 00:00:00+00:00,7,5,22,7
2023-06-16 00:00:00+00:00,8,4,47,4
2023-06-17 00:00:00+00:00,5,4,18,6
2023-06-18 00:00:00+00:00,8,4,28,1
2023-06-19 00:00:00+00:00,4,3,1,1
2023-06-20 00:00:00+00:00,4,3,62,7
2023-06-21 00:00:00+00:00,7,4,45,8
2023-06-22 00:00:00+00:00,6,3,44,5
2023-06-23 00:00:00+00:00,3,2,2,2
2023-06-24 00:00:00+00:00,4,3,7,2
2023-06-25 00:00:00+00:00,7,3,9,2
