time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-17 00:00:00+00:00,22,9,115.0,9.0
2024-04-18 00:00:00+00:00,5,3,14.0,4.0
2024-04-19 00:00:00+00:00,29,7,77.0,13.0
2024-04-20 00:00:00+00:00,4,4,3.0,2.0
2024-04-21 00:00:00+00:00,6,6,1.0,1.0
2024-04-22 00:00:00+00:00,3,3,3.0,1.0
2024-04-23 00:00:00+00:00,2,2,24.0,5.0
2024-04-24 00:00:00+00:00,3,3,30.0,6.0
2024-04-25 00:00:00+00:00,6,6,2.0,1.0
2024-04-26 00:00:00+00:00,4,4,29.0,4.0
2024-04-27 00:00:00+00:00,6,5,25.0,2.0
2024-04-28 00:00:00+00:00,1,1,,
2024-04-29 00:00:00+00:00,2,2,3.0,1.0
2024-04-30 00:00:00+00:00,1,1,41.0,3.0
