time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-20 00:00:00+00:00,2,2,12.0,4.0
2023-02-21 00:00:00+00:00,3,2,29.0,9.0
2023-02-22 00:00:00+00:00,1,1,29.0,6.0
2023-02-23 00:00:00+00:00,3,2,3.0,3.0
2023-02-24 00:00:00+00:00,2,1,18.0,4.0
2023-02-25 00:00:00+00:00,1,1,,
2023-02-26 00:00:00+00:00,2,2,1.0,1.0
2023-02-27 00:00:00+00:00,1,1,15.0,3.0
2023-02-28 00:00:00+00:00,1,1,7.0,3.0
2023-03-01 00:00:00+00:00,20,8,127.0,7.0
2023-03-02 00:00:00+00:00,21,10,150.0,6.0
2023-03-03 00:00:00+00:00,9,5,42.0,9.0
2023-03-04 00:00:00+00:00,2,2,16.0,2.0
2023-03-05 00:00:00+00:00,1,1,,
